backray pix_x= 800; pix_y= 480; viewmat= [0.885722, 0.184677, -0.425899, 0.000000, -0.233545, 0.970170, -0.065009, 0.000000, 0.401189, 0.157047, 0.902432, 0.000000, -0.378750, -1.815881, 3.213168, 1.000000]; ray_dir= [0.000000, -0.032001, 1.000000]
contrib= 399, alpha= 0.249433, omega=0.000038, r= 0.985663, x= 0.034585, y= -0.073237, z= -0.148017, dL_dr= -0.000002, dL_dx= -0.000049, dL_dy= -0.000016, dL_dz= -0.000004, dL_dopa= 0.000040, dep= 3.934398
contrib= 390, alpha= 0.370361, omega=0.000091, r= 0.991029, x= 0.017633, y= -0.000198, z= -0.132479, dL_dr= -0.000002, dL_dx= -0.000121, dL_dy= -0.000017, dL_dz= -0.000000, dL_dopa= 0.000047, dep= 3.927254
contrib= 389, alpha= 0.041322, omega=0.000011, r= 0.852894, x= 0.371388, y= 0.365017, z= -0.037502, dL_dr= -0.000005, dL_dx= -0.000001, dL_dy= 0.000010, dL_dz= 0.000005, dL_dopa= 0.000019, dep= 3.757771
contrib= 388, alpha= 0.435228, omega=0.000197, r= 0.925674, x= 0.094074, y= 0.342518, z= -0.130230, dL_dr= -0.000026, dL_dx= -0.000200, dL_dy= 0.000158, dL_dz= 0.000094, dL_dopa= 0.000063, dep= 3.915697
contrib= 386, alpha= 0.027575, omega=0.000013, r= 0.936751, x= -0.008377, y= 0.346842, z= -0.046132, dL_dr= 0.000000, dL_dx= -0.000017, dL_dy= 0.000012, dL_dz= 0.000006, dL_dopa= 0.000113, dep= 3.834635
contrib= 385, alpha= 0.407953, omega=0.000321, r= 0.992508, x= 0.065947, y= 0.099629, z= 0.025559, dL_dr= -0.000029, dL_dx= -0.000382, dL_dy= 0.000102, dL_dz= 0.000044, dL_dopa= 0.000006, dep= 3.902827
contrib= 376, alpha= 0.013063, omega=0.000010, r= 0.955601, x= 0.266242, y= 0.125743, z= 0.011390, dL_dr= -0.000004, dL_dx= -0.000006, dL_dy= 0.000004, dL_dz= 0.000002, dL_dopa= -0.000124, dep= 3.940490
contrib= 375, alpha= 0.129042, omega=0.000118, r= 0.984880, x= 0.151491, y= 0.027233, z= -0.079497, dL_dr= -0.000025, dL_dx= -0.000110, dL_dy= -0.000004, dL_dz= 0.000004, dL_dopa= -0.000094, dep= 3.921196
contrib= 364, alpha= 0.004051, omega=0.000004, r= 0.922378, x= -0.082240, y= -0.277591, z= -0.255731, dL_dr= 0.000000, dL_dx= -0.000006, dL_dy= -0.000004, dL_dz= -0.000001, dL_dopa= 0.000379, dep= 3.889869
contrib= 362, alpha= 0.065883, omega=0.000065, r= 0.985315, x= 0.003234, y= -0.029477, z= 0.168150, dL_dr= -0.000000, dL_dx= -0.000088, dL_dy= 0.000010, dL_dz= -0.000003, dL_dopa= 0.000074, dep= 3.864080
contrib= 361, alpha= 0.068339, omega=0.000072, r= 0.987362, x= -0.004639, y= -0.131088, z= -0.088940, dL_dr= 0.000000, dL_dx= -0.000100, dL_dy= -0.000036, dL_dz= -0.000013, dL_dopa= 0.000135, dep= 3.875401
contrib= 355, alpha= 0.164098, omega=0.000207, r= 0.921137, x= 0.253690, y= 0.252449, z= 0.153029, dL_dr= -0.000073, dL_dx= -0.000115, dL_dy= 0.000194, dL_dz= 0.000073, dL_dopa= -0.000021, dep= 3.777535
contrib= 351, alpha= 0.298324, omega=0.000536, r= 0.953717, x= 0.144446, y= 0.257108, z= -0.058774, dL_dr= -0.000108, dL_dx= -0.000489, dL_dy= 0.000351, dL_dz= 0.000192, dL_dopa= -0.000025, dep= 3.903341
contrib= 320, alpha= 0.012904, omega=0.000024, r= 0.995377, x= 0.057627, y= 0.027344, z= -0.071806, dL_dr= -0.000002, dL_dx= -0.000029, dL_dy= -0.000001, dL_dz= 0.000001, dL_dopa= 0.000003, dep= 3.781137
contrib= 316, alpha= 0.005755, omega=0.000011, r= 0.992450, x= 0.081491, y= 0.075765, z= 0.051599, dL_dr= -0.000001, dL_dx= -0.000012, dL_dy= 0.000003, dL_dz= 0.000001, dL_dopa= -0.000020, dep= 3.838894
contrib= 314, alpha= 0.009119, omega=0.000017, r= 0.973273, x= 0.203482, y= 0.082796, z= 0.066925, dL_dr= -0.000005, dL_dx= -0.000013, dL_dy= 0.000006, dL_dz= 0.000002, dL_dopa= -0.000222, dep= 3.764975
