back contributor= 201, dL_domega = 0.003431, dL_dz = 0.000001, dL_dopa = 0.000801, omega = 0.001160, z = 6.843819, alpha = 0.004970, T = 0.233413, Ld = 0.000004
back contributor= 200, dL_domega = 0.001888, dL_dz = 0.000002, dL_dopa = 0.000443, omega = 0.003596, z = 4.598778, alpha = 0.015174, T = 0.237009, Ld = 0.000007
back contributor= 198, dL_domega = 0.003218, dL_dz = 0.000004, dL_dopa = 0.000771, omega = 0.006127, z = 6.521020, alpha = 0.025200, T = 0.243136, Ld = 0.000020
back contributor= 197, dL_domega = 0.002024, dL_dz = 0.000002, dL_dopa = 0.000468, omega = 0.003041, z = 4.813771, alpha = 0.012353, T = 0.246177, Ld = 0.000006
back contributor= 196, dL_domega = 0.001893, dL_dz = 0.000005, dL_dopa = 0.000443, omega = 0.007535, z = 4.607371, alpha = 0.029698, T = 0.253712, Ld = 0.000014
back contributor= 176, dL_domega = 0.001869, dL_dz = 0.000003, dL_dopa = 0.000431, omega = 0.004798, z = 4.568096, alpha = 0.018559, T = 0.258510, Ld = 0.000009
back contributor= 175, dL_domega = 0.001858, dL_dz = 0.000004, dL_dopa = 0.000430, omega = 0.006026, z = 4.549704, alpha = 0.022781, T = 0.264536, Ld = 0.000011
back contributor= 174, dL_domega = 0.001858, dL_dz = 0.000006, dL_dopa = 0.000437, omega = 0.010567, z = 4.548999, alpha = 0.038410, T = 0.275103, Ld = 0.000020
back contributor= 170, dL_domega = 0.001846, dL_dz = 0.000001, dL_dopa = 0.000421, omega = 0.002228, z = 4.529309, alpha = 0.008033, T = 0.277331, Ld = 0.000004
back contributor= 168, dL_domega = 0.001843, dL_dz = 0.000004, dL_dopa = 0.000426, omega = 0.006350, z = 4.523907, alpha = 0.022383, T = 0.283681, Ld = 0.000012
back contributor= 161, dL_domega = 0.001838, dL_dz = 0.000006, dL_dopa = 0.000431, omega = 0.011071, z = 4.514751, alpha = 0.037560, T = 0.294751, Ld = 0.000020
back contributor= 160, dL_domega = 0.001836, dL_dz = 0.000008, dL_dopa = 0.000434, omega = 0.014029, z = 4.512356, alpha = 0.045434, T = 0.308781, Ld = 0.000026
back contributor= 159, dL_domega = 0.001842, dL_dz = 0.000017, dL_dopa = 0.000455, omega = 0.028924, z = 4.522099, alpha = 0.085648, T = 0.337704, Ld = 0.000053
back contributor= 158, dL_domega = 0.001847, dL_dz = 0.000010, dL_dopa = 0.000439, omega = 0.017648, z = 4.529748, alpha = 0.049663, T = 0.355352, Ld = 0.000032
back contributor= 157, dL_domega = 0.001852, dL_dz = 0.000001, dL_dopa = 0.000422, omega = 0.001863, z = 4.539054, alpha = 0.005217, T = 0.357216, Ld = 0.000003
back contributor= 150, dL_domega = 0.001838, dL_dz = 0.000002, dL_dopa = 0.000419, omega = 0.003800, z = 4.515734, alpha = 0.010525, T = 0.361015, Ld = 0.000007
back contributor= 145, dL_domega = 0.001822, dL_dz = 0.000002, dL_dopa = 0.000413, omega = 0.003560, z = 4.487366, alpha = 0.009766, T = 0.364576, Ld = 0.000006
back contributor= 143, dL_domega = 0.001834, dL_dz = 0.000010, dL_dopa = 0.000433, omega = 0.017784, z = 4.507834, alpha = 0.046511, T = 0.382360, Ld = 0.000033
back contributor= 142, dL_domega = 0.001825, dL_dz = 0.000015, dL_dopa = 0.000438, omega = 0.026064, z = 4.492656, alpha = 0.063816, T = 0.408423, Ld = 0.000047
back contributor= 133, dL_domega = 0.001818, dL_dz = 0.000005, dL_dopa = 0.000415, omega = 0.008602, z = 4.480096, alpha = 0.020626, T = 0.417025, Ld = 0.000016
back contributor= 132, dL_domega = 0.001817, dL_dz = 0.000005, dL_dopa = 0.000416, omega = 0.009420, z = 4.479397, alpha = 0.022089, T = 0.426444, Ld = 0.000017
back contributor= 128, dL_domega = 0.001807, dL_dz = 0.000002, dL_dopa = 0.000406, omega = 0.003666, z = 4.460663, alpha = 0.008523, T = 0.430110, Ld = 0.000007
back contributor= 122, dL_domega = 0.001807, dL_dz = 0.000012, dL_dopa = 0.000423, omega = 0.021938, z = 4.460953, alpha = 0.048530, T = 0.452048, Ld = 0.000039
back contributor= 116, dL_domega = 0.001832, dL_dz = 0.000006, dL_dopa = 0.000423, omega = 0.010837, z = 4.504458, alpha = 0.023411, T = 0.462885, Ld = 0.000020
back contributor= 109, dL_domega = 0.001788, dL_dz = 0.000003, dL_dopa = 0.000398, omega = 0.005529, z = 4.427312, alpha = 0.011803, T = 0.468414, Ld = 0.000010
back contributor= 100, dL_domega = 0.001770, dL_dz = 0.000001, dL_dopa = 0.000387, omega = 0.002499, z = 4.393923, alpha = 0.005307, T = 0.470913, Ld = 0.000004
back contributor= 99, dL_domega = 0.001782, dL_dz = 0.000028, dL_dopa = 0.000432, omega = 0.050487, z = 4.416407, alpha = 0.096829, T = 0.521399, Ld = 0.000090
back contributor= 86, dL_domega = 0.001761, dL_dz = 0.000002, dL_dopa = 0.000382, omega = 0.003879, z = 4.377522, alpha = 0.007384, T = 0.525278, Ld = 0.000007
back contributor= 83, dL_domega = 0.001763, dL_dz = 0.000014, dL_dopa = 0.000399, omega = 0.025809, z = 4.381444, alpha = 0.046832, T = 0.551087, Ld = 0.000045
back contributor= 76, dL_domega = 0.001757, dL_dz = 0.000004, dL_dopa = 0.000383, omega = 0.008325, z = 4.368850, alpha = 0.014881, T = 0.559411, Ld = 0.000015
back contributor= 73, dL_domega = 0.001756, dL_dz = 0.000008, dL_dopa = 0.000387, omega = 0.015978, z = 4.367719, alpha = 0.027769, T = 0.575389, Ld = 0.000028
back contributor= 70, dL_domega = 0.001751, dL_dz = 0.000002, dL_dopa = 0.000376, omega = 0.003289, z = 4.357089, alpha = 0.005683, T = 0.578678, Ld = 0.000006
back contributor= 65, dL_domega = 0.001752, dL_dz = 0.000011, dL_dopa = 0.000388, omega = 0.020576, z = 4.360606, alpha = 0.034336, T = 0.599254, Ld = 0.000036
back contributor= 62, dL_domega = 0.001758, dL_dz = 0.000003, dL_dopa = 0.000381, omega = 0.005546, z = 4.370547, alpha = 0.009169, T = 0.604799, Ld = 0.000010
back contributor= 46, dL_domega = 0.001749, dL_dz = 0.000003, dL_dopa = 0.000376, omega = 0.005225, z = 4.355056, alpha = 0.008565, T = 0.610024, Ld = 0.000009
back contributor= 45, dL_domega = 0.001740, dL_dz = 0.000001, dL_dopa = 0.000368, omega = 0.002420, z = 4.335806, alpha = 0.003952, T = 0.612444, Ld = 0.000004
back contributor= 44, dL_domega = 0.001744, dL_dz = 0.000029, dL_dopa = 0.000403, omega = 0.055338, z = 4.344472, alpha = 0.082869, T = 0.667782, Ld = 0.000096
back contributor= 42, dL_domega = 0.001751, dL_dz = 0.000017, dL_dopa = 0.000392, omega = 0.032114, z = 4.358262, alpha = 0.045883, T = 0.699896, Ld = 0.000056
back contributor= 41, dL_domega = 0.001738, dL_dz = 0.000026, dL_dopa = 0.000392, omega = 0.051390, z = 4.333790, alpha = 0.068402, T = 0.751285, Ld = 0.000089
back contributor= 37, dL_domega = 0.001746, dL_dz = 0.000003, dL_dopa = 0.000374, omega = 0.006229, z = 4.347777, alpha = 0.008223, T = 0.757515, Ld = 0.000011
back contributor= 33, dL_domega = 0.001754, dL_dz = 0.000003, dL_dopa = 0.000380, omega = 0.005897, z = 4.363120, alpha = 0.007725, T = 0.763412, Ld = 0.000010
back contributor= 30, dL_domega = 0.001728, dL_dz = 0.000004, dL_dopa = 0.000361, omega = 0.007526, z = 4.313206, alpha = 0.009762, T = 0.770938, Ld = 0.000013
back contributor= 28, dL_domega = 0.001729, dL_dz = 0.000005, dL_dopa = 0.000363, omega = 0.009767, z = 4.315081, alpha = 0.012511, T = 0.780705, Ld = 0.000017
back contributor= 27, dL_domega = 0.001733, dL_dz = 0.000009, dL_dopa = 0.000370, omega = 0.018213, z = 4.323464, alpha = 0.022797, T = 0.798918, Ld = 0.000031
back contributor= 26, dL_domega = 0.001728, dL_dz = 0.000017, dL_dopa = 0.000373, omega = 0.034243, z = 4.313797, alpha = 0.041100, T = 0.833160, Ld = 0.000059
back contributor= 13, dL_domega = 0.001706, dL_dz = 0.000008, dL_dopa = 0.000346, omega = 0.016284, z = 4.268687, alpha = 0.019171, T = 0.849445, Ld = 0.000028
back contributor= 12, dL_domega = 0.001705, dL_dz = 0.000010, dL_dopa = 0.000347, omega = 0.021656, z = 4.266128, alpha = 0.024861, T = 0.871101, Ld = 0.000037
back contributor= 11, dL_domega = 0.001702, dL_dz = 0.000003, dL_dopa = 0.000337, omega = 0.006326, z = 4.259057, alpha = 0.007210, T = 0.877427, Ld = 0.000011
back contributor= 10, dL_domega = 0.001763, dL_dz = 0.000004, dL_dopa = 0.000392, omega = 0.006667, z = 4.381259, alpha = 0.007541, T = 0.884094, Ld = 0.000012
back contributor= 9, dL_domega = 0.003048, dL_dz = -0.000027, dL_dopa = 0.001537, omega = 0.006937, z = 2.630365, alpha = 0.007785, T = 0.891031, Ld = 0.000004
back contributor= 6, dL_domega = 0.001561, dL_dz = 0.000002, dL_dopa = 0.000202, omega = 0.011752, z = 3.833649, alpha = 0.013018, T = 0.902783, Ld = 0.000017
back contributor= 1, dL_domega = 0.006699, dL_dz = -0.000420, dL_dopa = 0.005037, omega = 0.037079, z = 2.107606, alpha = 0.039452, T = 0.939862, Ld = 0.000006
back contributor= 0, dL_domega = 0.015361, dL_dz = -0.001814, dL_dopa = 0.013810, omega = 0.060137, z = 1.652818, alpha = 0.060137, T = 0.999999, Ld = -0.000000
